,index,Date,Open,High,Low,Close,Volume,volume_change,stock_change,comment_volume,polarity_avg,subjectivity_avg
23,23,2/5/2021,7.17,8.27,6.52,6.83,197097594,0.209293065,-0.036671368,166,0.065689064,0.497491706
24,24,2/8/2021,6.88,6.89,5.75,6.18,128756000,-0.346739869,-0.095168375,31,0.205267381,0.477826912
25,25,2/9/2021,5.81,5.81,5.26,5.5,102588094,-0.203236401,-0.110032362,17,0.189472332,0.416229277
26,26,2/10/2021,5.71,6.59,5.45,5.8,152810797,0.489556839,0.054545455,44,0.208391354,0.599166667
27,27,2/11/2021,5.62,5.85,5.47,5.61,55920391,-0.634054713,-0.032758621,4,-0.9375,0.433333334
28,28,2/12/2021,5.72,5.97,5.52,5.59,46773031,-0.163578255,-0.003565062,0,0,0
29,29,2/16/2021,6.03,6.05,5.49,5.65,61165711,0.30771322,0.010733453,0,0,0
30,30,2/17/2021,5.58,5.62,5.32,5.55,38849047,-0.364855793,-0.017699115,1,0.7,0.5
31,31,2/18/2021,5.84,6.25,5.46,5.51,130540797,2.360205902,-0.007207207,0,0,0
32,32,2/19/2021,5.54,5.77,5.51,5.7,40249113,-0.691674067,0.034482759,0,0,0
33,33,2/22/2021,5.93,6.68,5.75,6.55,173408984,3.308392684,0.149122807,1,0.7,0.6
34,34,2/23/2021,6.97,7.86,6.01,7.7,264876406,0.527466455,0.175572519,2,0,0
35,35,2/24/2021,7.23,9.83,6.99,9.09,376881781,0.422859011,0.180519481,3,-0.8,0.8
36,36,2/25/2021,10.89,11,7.85,8.29,445717406,0.182645138,-0.088008801,9,0.095289216,0.685324183
37,37,2/26/2021,8.19,9.01,7.63,8.01,137028000,-0.692567537,-0.033775633,23,0.415198413,0.657111111
38,38,3/1/2021,8.86,9.45,8.42,9.18,143586500,0.047862481,0.146067416,1,0,0
39,39,3/2/2021,9.14,9.4,8.51,8.93,78135438,-0.455830193,-0.027233115,2,0,0
40,40,3/3/2021,8.95,9.14,8.5,8.58,55651871,-0.287751212,-0.039193729,2,-0.381060606,0.606666667
41,41,3/4/2021,8.25,8.59,7.5,8.03,77822641,0.398383192,-0.064102564,5,0.544482422,0.696875
42,42,3/5/2021,8.08,8.27,7.63,8.05,59734129,-0.232432513,0.00249066,1,0.15,0.35
43,43,3/8/2021,8.53,9.48,8.31,9.29,114343797,0.914212175,0.154037267,0,0,0
44,44,3/9/2021,9.38,10.77,9.22,10.5,150415594,0.315467895,0.130247578,0,0,0
45,45,3/10/2021,11.02,12.47,9.51,9.85,261918594,0.741299469,-0.061904762,2,0.125,0.444230769
46,46,3/11/2021,10.65,10.87,9.9,10.28,83933594,-0.679543202,0.043654822,1,0.5,0.5
47,47,3/12/2021,10.16,11.4,9.94,11.16,111146703,0.324221896,0.085603113,1,0.166666667,0.308333333
48,48,3/15/2021,12.18,14.49,11.85,14.04,278969219,1.509918976,0.258064516,0,0,0
49,49,3/16/2021,13.62,13.62,12.34,13.02,125967602,-0.548453401,-0.072649573,3,0,0
50,50,3/17/2021,13.24,13.66,13,13.56,78053641,-0.380367334,0.041474654,1,-0.1,0.45
51,51,3/18/2021,14.34,14.54,13.57,14,122212305,0.56574765,0.032448378,1,0,0
52,52,3/19/2021,14.14,14.18,13.28,13.93,153206000,0.253605355,-0.005,1,-0.05,0.23625
53,53,3/22/2021,13.15,13.19,11.76,12.49,88760141,-0.420648401,-0.103374013,0,0,0
54,54,3/23/2021,11.46,11.93,10.37,10.66,87923242,-0.009428771,-0.146517214,0,0,0
55,55,3/24/2021,10.82,11.21,8.93,9.02,81850719,-0.069066186,-0.153846154,1,0,0.55
56,56,3/25/2021,8.96,11.32,8.95,10.94,131192797,0.602830111,0.21286031,0,0,0
57,57,3/26/2021,11.27,11.53,10.01,10.24,84633070,-0.354895452,-0.063985375,0,0,0
58,58,3/29/2021,10.32,10.76,10.09,10.35,37330711,-0.558911062,0.010742187,1,-0.6,0.8
59,59,3/30/2021,10.31,10.52,9.76,10.35,39020488,0.045265063,0,0,0,0
60,60,3/31/2021,10.4,10.47,10.05,10.21,29832330,-0.235470095,-0.01352657,0,0,0
61,61,4/1/2021,10.23,10.26,9.15,9.36,77473914,1.596978312,-0.083251714,1,0.85,0.75
62,62,4/5/2021,10.1,11.25,9.72,10.61,96082320,0.240189311,0.133547009,0,0,0
63,63,4/6/2021,10.4,10.5,10,10.2,44066953,-0.541362521,-0.03864279,0,0,0
64,64,4/7/2021,10.07,10.18,9.85,9.85,28804330,-0.346350768,-0.034313725,0,0,0
65,65,4/8/2021,10.01,10.01,9.5,9.79,33408680,0.159849231,-0.006091371,2,-0.562121212,0.76875
66,66,4/9/2021,9.6,9.74,9.24,9.42,29254600,-0.124341339,-0.037793667,0,0,0
67,67,4/12/2021,9.44,9.49,8.51,8.62,51269801,0.752538097,-0.08492569,0,0,0
68,68,4/13/2021,8.66,9.12,8.31,8.84,44049129,-0.140836747,0.025522042,0,0,0
69,69,4/14/2021,9,9.81,8.9,9.35,51166340,0.161574387,0.057692308,0,0,0
70,70,4/15/2021,9.88,10.23,9.58,9.9,45198898,-0.116628276,0.058823529,0,0,0
71,71,4/16/2021,10,10.03,9.09,9.33,40696680,-0.099609021,-0.057575758,1,-0.1875,0.5
72,72,4/19/2021,9.48,9.81,9.38,9.66,32814328,-0.193685382,0.035369775,0,0,0
73,73,4/20/2021,9.7,9.71,9.01,9.28,27008910,-0.176917169,-0.039337474,2,0.25,0.8625
74,74,4/21/2021,9.25,9.81,9.14,9.78,23598230,-0.126279809,0.05387931,0,0,0
75,75,4/22/2021,9.95,10.65,9.79,9.99,49923512,1.115561718,0.021472393,0,0,0
76,76,4/23/2021,10.09,10.38,9.96,10.16,27595211,-0.447250205,0.017017017,2,0,0
77,77,4/26/2021,10.69,11.96,10.57,11.5,78592891,1.848062695,0.131889764,1,-0.208333333,0.066666667
78,78,4/27/2021,11.68,12.22,11.22,11.46,51629820,-0.343072645,-0.003478261,1,0,0.5
79,79,4/28/2021,10.85,11.39,10.65,10.85,39720473,-0.230667994,-0.053228621,32,0.153412281,0.543818085
80,80,4/29/2021,10.95,11.04,10.09,10.2,37782922,-0.048779656,-0.059907834,0,0,0
81,81,4/30/2021,10.07,10.18,9.88,10.03,27741039,-0.265778359,-0.016666667,1,0,0
82,82,5/3/2021,10.11,10.12,9.61,9.71,31251230,0.12653423,-0.031904287,1,-0.3,0.6
83,83,5/4/2021,9.63,9.75,9.05,9.39,35222379,0.127071766,-0.032955716,1,0.071875,0.270833333
84,84,5/5/2021,9.41,9.57,9.08,9.24,27609035,-0.21615076,-0.015974441,6,-0.260416667,0.25
85,85,5/6/2021,9.33,9.4,8.93,9,39586273,0.433815887,-0.025974026,4,0.12,0.815
86,86,5/7/2021,9.32,9.79,9.14,9.51,38244969,-0.033883058,0.056666667,1,0,0
87,87,5/10/2021,9.9,10.15,9.56,9.74,41015273,0.072435776,0.024185068,1,0.625,0.5
88,88,5/11/2021,9.93,10.48,9.6,10.05,49600980,0.20932951,0.031827515,135,0.100160319,0.524374011
89,89,5/12/2021,10.03,10.63,10.02,10.32,54423480,0.097225902,0.026865672,30,0.07828005,0.495488637
90,90,5/13/2021,10.88,14.2,10.64,12.77,296525000,4.448475548,0.237403101,88,0.186126937,0.573599467
91,91,5/14/2021,13.31,14.34,12.57,12.98,207589906,-0.299924438,0.016444792,246,0.073634777,0.537440112
92,92,5/17/2021,13.67,14.38,13.39,13.95,147923016,-0.28742674,0.074730354,9,0.173252916,0.512460668
93,93,5/18/2021,14.25,14.67,13.57,14.03,172488406,0.166068748,0.005734767,59,0.077048642,0.462176987
94,94,5/19/2021,12.95,13.31,12.14,12.64,89024109,-0.48388352,-0.099073414,40,0.125894088,0.562362888
95,95,5/20/2021,12.59,12.99,12.03,12.55,61419727,-0.310077599,-0.007120253,13,0.187497848,0.509864985
96,96,5/21/2021,12.61,12.84,12.05,12.08,53937711,-0.1218178,-0.037450199,36,0.042405118,0.492012397
